Year,Jurisdiction,Category,Management,Fate,Tonnes,Core or non-core
"2018-2019","NSW","Paper & cardboard","Landfill","Disposal","703833","Core waste"
"2018-2019","NSW","Paper & cardboard","Landfill","Energy recovery","124149","Core waste"
"2018-2019","NSW","Paper & cardboard","Recycling","Recycling","1006748","Core waste"
"2018-2019","NSW","Plastics","Energy from waste facility","Energy recovery","61951","Core waste"
"2018-2019","NSW","Plastics","Landfill","Disposal","560476","Core waste"
"2018-2019","NSW","Plastics","Recycling","Recycling","87032","Core waste"
"2018-2019","NSW","Textiles, leather & rubber (excl. tyres)","Energy from waste facility","Energy recovery","0","Core waste"
"2018-2019","NSW","Textiles, leather & rubber (excl. tyres)","Landfill","Disposal","173549","Core waste"
"2018-2019","NSW","Textiles, leather & rubber (excl. tyres)","Landfill","Energy recovery","31352","Core waste"
"2018-2019","NSW","Textiles, leather & rubber (excl. tyres)","Recycling","Recycling","1364","Core waste"
"2018-2019","NSW","Unclassified materials","Energy from waste facility","Energy recovery","0","Core waste"
"2018-2019","NSW","Unclassified materials","Landfill","Disposal","207495","Core waste"
"2018-2019","NSW","Unclassified materials","Landfill","Energy recovery","0","Core waste"
"2018-2019","NSW","Unclassified materials","Recycling","Recycling","19391","Core waste"
"2018-2019","NT","Biosolids","Other disposal","Disposal","3851.86887269081","Core waste"
"2018-2019","NT","Biosolids","Recycling","Recycling","10885.7163793436","Core waste"
"2018-2019","NT","Building and demolition materials","Landfill","Disposal","131099","Core waste"
"2018-2019","NT","Building and demolition materials","Recycling","Recycling","16016","Core waste"
"2018-2019","NT","Glass","Landfill","Disposal","8114","Core waste"
"2018-2019","NT","Glass","Recycling","Recycling","6251","Core waste"
"2018-2019","NT","Hazardous wastes","Energy from waste facility","Energy recovery","1065.21739130435","Core waste"
"2018-2019","NT","Hazardous wastes","Landfill","Disposal","14968.8571476081","Core waste"
"2018-2019","NT","Hazardous wastes","Other disposal","Disposal","787.133164548137","Core waste"
"2018-2019","NT","Hazardous wastes","Recycling","Recycling","43708.102392264","Core waste"
"2018-2019","NT","Hazardous wastes","Treatment","Disposal","3433.04199549236","Core waste"
"2018-2019","NT","Hazardous wastes","Treatment","Energy recovery","2221.09903246338","Core waste"
"2018-2019","NT","Hazardous wastes","Treatment","Recycling","12093.6932063197","Core waste"
"2018-2019","NT","Metals","Landfill","Disposal","8337","Core waste"
"2018-2019","NT","Metals","Recycling","Recycling","702","Core waste"
"2018-2019","NT","Organics","Energy from waste facility","Energy recovery","0","Core waste"
"2018-2019","NT","Organics","Landfill","Disposal","96045","Core waste"
"2018-2019","NT","Organics","Landfill","Energy recovery","11231","Core waste"
"2018-2019","NT","Organics","Recycling","Recycling","1056","Core waste"
"2018-2019","NT","Paper & cardboard","Energy from waste facility","Energy recovery","0","Core waste"
"2018-2019","NT","Paper & cardboard","Landfill","Disposal","26769","Core waste"
"2018-2019","NT","Paper & cardboard","Landfill","Energy recovery","2416","Core waste"
"2018-2019","NT","Paper & cardboard","Recycling","Recycling","290","Core waste"
"2018-2019","NT","Plastics","Landfill","Disposal","31625","Core waste"
"2018-2019","NT","Plastics","Recycling","Recycling","1020","Core waste"
"2018-2019","NT","Textiles, leather & rubber (excl. tyres)","Energy from waste facility","Energy recovery","0","Core waste"
"2018-2019","NT","Textiles, leather & rubber (excl. tyres)","Landfill","Disposal","6274","Core waste"
"2018-2019","NT","Textiles, leather & rubber (excl. tyres)","Landfill","Energy recovery","579","Core waste"
"2018-2019","NT","Textiles, leather & rubber (excl. tyres)","Recycling","Recycling","1843","Core waste"
"2018-2019","NT","Unclassified materials","Energy from waste facility","Energy recovery","0","Core waste"
"2018-2019","NT","Unclassified materials","Landfill","Energy recovery","0","Core waste"
"2018-2019","Qld","Ash","Other disposal","Long-term storage","3810941.78410955","Non-core waste"
"2018-2019","Qld","Ash","Recycling","Recycling","814868.688490643","Non-core waste"
"2018-2019","Qld","Biosolids","Other disposal","Disposal","0","Core waste"
"2018-2019","Qld","Biosolids","Recycling","Recycling","332310","Core waste"
"2018-2019","Qld","Building and demolition materials","Landfill","Disposal","1493312","Core waste"
"2018-2019","Qld","Building and demolition materials","Recycling","Recycling","2405913","Core waste"
"2018-2019","Qld","Glass","Landfill","Disposal","125709","Core waste"
"2018-2019","Qld","Glass","Recycling","Recycling","77181","Core waste"
"2018-2019","Qld","Hazardous wastes","Energy from waste facility","Energy recovery","28350.1483679525","Core waste"
"2018-2019","Qld","Hazardous wastes","Landfill","Disposal","1144556.80815898","Core waste"
"2018-2019","Qld","Hazardous wastes","Other disposal","Disposal","17409.1603734348","Core waste"
"2018-2019","Qld","Hazardous wastes","Recycling","Recycling","691815.104304755","Core waste"
"2018-2019","Qld","Hazardous wastes","Treatment","Disposal","16522.1981118489","Core waste"
"2018-2019","Qld","Hazardous wastes","Treatment","Energy recovery","5861.27266974926","Core waste"
"2018-2019","Qld","Hazardous wastes","Treatment","Recycling","31692.5850581563","Core waste"
"2018-2019","Qld","Metals","Landfill","Disposal","137554","Core waste"
"2018-2019","Qld","Metals","Recycling","Recycling","1118426","Core waste"
"2018-2019","Qld","Organics","Energy from waste facility","Energy recovery","56770","Core waste"
"2018-2019","Qld","Organics","Landfill","Disposal","1412072","Core waste"
"2018-2019","Qld","Organics","Landfill","Energy recovery","332912","Core waste"
"2018-2019","Qld","Organics","Recycling","Recycling","880323","Core waste"
"2018-2019","Qld","Paper & cardboard","Energy from waste facility","Energy recovery","0","Core waste"
"2018-2019","Qld","Paper & cardboard","Landfill","Disposal","438228","Core waste"
"2018-2019","Qld","Paper & cardboard","Landfill","Energy recovery","81604","Core waste"
"2018-2019","Qld","Paper & cardboard","Recycling","Recycling","698816","Core waste"
"2018-2019","Qld","Plastics","Landfill","Disposal","594994","Core waste"
"2018-2019","Qld","Plastics","Recycling","Recycling","47531","Core waste"
"2018-2019","Qld","Textiles, leather & rubber (excl. tyres)","Energy from waste facility","Energy recovery","0","Core waste"
"2018-2019","Qld","Textiles, leather & rubber (excl. tyres)","Landfill","Disposal","138637","Core waste"
"2018-2019","Qld","Textiles, leather & rubber (excl. tyres)","Landfill","Energy recovery","25036","Core waste"
"2018-2019","Qld","Textiles, leather & rubber (excl. tyres)","Recycling","Recycling","0","Core waste"
"2018-2019","Qld","Unclassified materials","Energy from waste facility","Energy recovery","0","Core waste"
"2018-2019","Qld","Unclassified materials","Landfill","Disposal","0","Core waste"
"2018-2019","Qld","Unclassified materials","Landfill","Energy recovery","0","Core waste"
"2018-2019","Qld","Unclassified materials","Recycling","Recycling","16947","Core waste"
"2018-2019","SA","Ash","Other disposal","Long-term storage","0","Non-core waste"
"2018-2019","SA","Ash","Recycling","Recycling","0","Non-core waste"
"2018-2019","SA","Biosolids","Other disposal","Disposal","2296.66666666667","Core waste"
"2018-2019","SA","Biosolids","Recycling","Recycling","227370","Core waste"
"2018-2019","SA","Building and demolition materials","Landfill","Disposal","122176","Core waste"
"2018-2019","SA","Building and demolition materials","Recycling","Recycling","1400097","Core waste"
"2018-2019","SA","Glass","Landfill","Disposal","14881","Core waste"
"2018-2019","SA","Glass","Recycling","Recycling","73966","Core waste"
"2018-2019","SA","Hazardous wastes","Energy from waste facility","Energy recovery","12786.8852459016","Core waste"
"2018-2019","SA","Hazardous wastes","Landfill","Disposal","113584.524709648","Core waste"
"2018-2019","SA","Hazardous wastes","Other disposal","Disposal","4306.22662885779","Core waste"
"2018-2019","SA","Hazardous wastes","Recycling","Recycling","198202.252871929","Core waste"
"2018-2019","SA","Hazardous wastes","Treatment","Disposal","30229.1194332126","Core waste"
"2018-2019","SA","Hazardous wastes","Treatment","Energy recovery","5108.55326804276","Core waste"
"2018-2019","SA","Hazardous wastes","Treatment","Recycling","85183.0042867211","Core waste"
"2018-2019","SA","Metals","Landfill","Disposal","23677","Core waste"
"2018-2019","SA","Metals","Recycling","Recycling","329127","Core waste"
"2018-2019","SA","Organics","Energy from waste facility","Energy recovery","87813","Core waste"
"2018-2019","SA","Organics","Landfill","Disposal","238663","Core waste"
"2018-2019","SA","Organics","Landfill","Energy recovery","76891","Core waste"
"2018-2019","SA","Organics","Recycling","Recycling","927572","Core waste"
"2018-2019","SA","Paper & cardboard","Energy from waste facility","Energy recovery","0","Core waste"
"2018-2019","SA","Paper & cardboard","Landfill","Disposal","57697","Core waste"
"2018-2019","SA","Paper & cardboard","Landfill","Energy recovery","13445","Core waste"
"2018-2019","SA","Paper & cardboard","Recycling","Recycling","228765","Core waste"
"2018-2019","SA","Plastics","Energy from waste facility","Energy recovery","5938","Core waste"
"2018-2019","SA","Plastics","Landfill","Disposal","46684","Core waste"
"2018-2019","SA","Plastics","Landfill","Energy recovery","0","Core waste"
"2018-2019","SA","Plastics","Recycling","Recycling","18252","Core waste"
"2018-2019","SA","Textiles, leather & rubber (excl. tyres)","Energy from waste facility","Energy recovery","0","Core waste"
"2018-2019","SA","Textiles, leather & rubber (excl. tyres)","Landfill","Disposal","18959","Core waste"
"2018-2019","SA","Textiles, leather & rubber (excl. tyres)","Landfill","Energy recovery","4529","Core waste"
"2018-2019","SA","Textiles, leather & rubber (excl. tyres)","Recycling","Recycling","21165","Core waste"
"2018-2019","SA","Unclassified materials","Energy from waste facility","Energy recovery","0","Core waste"
"2018-2019","SA","Unclassified materials","Landfill","Disposal","10812","Core waste"
"2018-2019","SA","Unclassified materials","Landfill","Energy recovery","0","Core waste"
"2018-2019","SA","Unclassified materials","Recycling","Recycling","18613","Core waste"
"2018-2019","Tas","Biosolids","Other disposal","Disposal","0","Core waste"
"2018-2019","Tas","Biosolids","Recycling","Recycling","34980","Core waste"
"2018-2019","Tas","Building and demolition materials","Landfill","Disposal","64358","Core waste"
"2018-2019","Tas","Building and demolition materials","Recycling","Recycling","1351","Core waste"
"2018-2019","Tas","Glass","Landfill","Disposal","12354","Core waste"
"2018-2019","Tas","Glass","Recycling","Recycling","13272","Core waste"
"2018-2019","Tas","Hazardous wastes","Energy from waste facility","Energy recovery","3633.02752293578","Core waste"
"2018-2019","Tas","Hazardous wastes","Landfill","Disposal","94050.5601142152","Core waste"
"2018-2019","Tas","Hazardous wastes","Other disposal","Disposal","267.266246325513","Core waste"
"2018-2019","Tas","Hazardous wastes","Recycling","Recycling","204752.102673501","Core waste"
"2018-2019","Tas","Hazardous wastes","Treatment","Disposal","15067.7088700285","Core waste"
"2018-2019","Tas","Hazardous wastes","Treatment","Energy recovery","26.0784955469518","Core waste"
"2018-2019","Tas","Hazardous wastes","Treatment","Recycling","125278.153335167","Core waste"
"2018-2019","Tas","Metals","Landfill","Disposal","13744","Core waste"
"2018-2019","Tas","Metals","Recycling","Recycling","6572","Core waste"
"2018-2019","Tas","Organics","Energy from waste facility","Energy recovery","0","Core waste"
"2018-2019","Tas","Organics","Landfill","Disposal","141054","Core waste"
"2018-2019","Tas","Organics","Landfill","Energy recovery","32548","Core waste"
"2018-2019","Tas","Organics","Recycling","Recycling","16792","Core waste"
"2018-2019","Tas","Paper & cardboard","Energy from waste facility","Energy recovery","0","Core waste"
"2018-2019","Tas","Paper & cardboard","Landfill","Disposal","46304","Core waste"
"2018-2019","Tas","Paper & cardboard","Landfill","Energy recovery","8099","Core waste"
"2018-2019","Tas","Paper & cardboard","Recycling","Recycling","43097","Core waste"
"2018-2019","Tas","Plastics","Landfill","Disposal","65073","Core waste"
"2018-2019","Tas","Plastics","Recycling","Recycling","4192","Core waste"
"2018-2019","Tas","Textiles, leather & rubber (excl. tyres)","Energy from waste facility","Energy recovery","0","Core waste"
"2018-2019","Tas","Textiles, leather & rubber (excl. tyres)","Landfill","Disposal","17097","Core waste"
"2018-2019","Tas","Textiles, leather & rubber (excl. tyres)","Landfill","Energy recovery","3062","Core waste"
"2018-2019","Tas","Textiles, leather & rubber (excl. tyres)","Recycling","Recycling","241","Core waste"
"2018-2019","Tas","Unclassified materials","Energy from waste facility","Energy recovery","0","Core waste"
"2018-2019","Tas","Unclassified materials","Landfill","Energy recovery","0","Core waste"
"2018-2019","Vic","Ash","Other disposal","Long-term storage","857179.516525673","Non-core waste"
"2018-2019","Vic","Ash","Recycling","Recycling","0","Non-core waste"
"2018-2019","Vic","Biosolids","Other disposal","Disposal","25616.6666666667","Core waste"
"2018-2019","Vic","Biosolids","Recycling","Recycling","486716.666666667","Core waste"
"2018-2019","Vic","Building and demolition materials","Landfill","Disposal","1147248","Core waste"
"2018-2019","Vic","Building and demolition materials","Recycling","Recycling","6315368","Core waste"
"2018-2019","Vic","Glass","Landfill","Disposal","96960","Core waste"
"2018-2019","Vic","Glass","Recycling","Recycling","194652","Core waste"
"2018-2019","Vic","Hazardous wastes","Energy from waste facility","Energy recovery","48527.9359430605","Core waste"
"2018-2019","Vic","Hazardous wastes","Landfill","Disposal","755498.947046346","Core waste"
"2018-2019","Vic","Hazardous wastes","Other disposal","Disposal","7556.47638553667","Core waste"
"2018-2019","Vic","Hazardous wastes","Recycling","Recycling","361362.02063617","Core waste"
"2018-2019","Vic","Hazardous wastes","Treatment","Disposal","80541.6247195107","Core waste"
"2018-2019","Vic","Hazardous wastes","Treatment","Energy recovery","11691.4850751594","Core waste"
"2018-2019","Vic","Hazardous wastes","Treatment","Recycling","164481.073546145","Core waste"
"2018-2019","Vic","Metals","Landfill","Disposal","154483","Core waste"
"2018-2019","Vic","Metals","Recycling","Recycling","1474439","Core waste"
"2018-2019","Vic","Organics","Anaerobic digestion","Recycling","31379","Core waste"
"2018-2019","Vic","Organics","Energy from waste facility","Energy recovery","56379","Core waste"
"2018-2019","Vic","Organics","Landfill","Disposal","1450418","Core waste"
"2018-2019","Vic","Organics","Landfill","Energy recovery","389449","Core waste"
"2018-2019","Vic","Organics","Recycling","Recycling","1275067","Core waste"
"2018-2019","Vic","Paper & cardboard","Energy from waste facility","Energy recovery","0","Core waste"
"2018-2019","Vic","Paper & cardboard","Landfill","Disposal","499669","Core waste"
"2018-2019","Vic","Paper & cardboard","Landfill","Energy recovery","106935","Core waste"
"2018-2019","Vic","Paper & cardboard","Recycling","Recycling","1249328","Core waste"
"2018-2019","Vic","Plastics","Landfill","Disposal","529495","Core waste"
"2018-2019","Vic","Plastics","Recycling","Recycling","142517","Core waste"
"2018-2019","Vic","Textiles, leather & rubber (excl. tyres)","Energy from waste facility","Energy recovery","5000","Core waste"
"2018-2019","Vic","Textiles, leather & rubber (excl. tyres)","Landfill","Disposal","172480","Core waste"
"2018-2019","Vic","Textiles, leather & rubber (excl. tyres)","Landfill","Energy recovery","37831","Core waste"
"2018-2019","Vic","Textiles, leather & rubber (excl. tyres)","Recycling","Recycling","24991","Core waste"
"2018-2019","Vic","Unclassified materials","Energy from waste facility","Energy recovery","0","Core waste"
"2018-2019","Vic","Unclassified materials","Landfill","Disposal","0","Core waste"
"2018-2019","Vic","Unclassified materials","Landfill","Energy recovery","0","Core waste"
"2018-2019","WA","Ash","Other disposal","Long-term storage","291250.400783078","Non-core waste"
"2018-2019","WA","Ash","Recycling","Recycling","820895.046010151","Non-core waste"
"2018-2019","WA","Biosolids","Other disposal","Disposal","40844.7977939759","Core waste"
"2018-2019","WA","Biosolids","Recycling","Recycling","115430.950287323","Core waste"
"2018-2019","WA","Building and demolition materials","Landfill","Disposal","425701","Core waste"
"2018-2019","WA","Building and demolition materials","Recycling","Recycling","1380132","Core waste"
"2018-2019","WA","Glass","Landfill","Disposal","66472","Core waste"
"2018-2019","WA","Glass","Recycling","Recycling","55847","Core waste"
"2018-2019","WA","Hazardous wastes","Energy from waste facility","Energy recovery","20803.2894736842","Core waste"
"2018-2019","WA","Hazardous wastes","Landfill","Disposal","227981.204260876","Core waste"
"2018-2019","WA","Hazardous wastes","Other disposal","Disposal","3451.25374887398","Core waste"
"2018-2019","WA","Hazardous wastes","Recycling","Recycling","365287.535279176","Core waste"
"2018-2019","WA","Hazardous wastes","Treatment","Disposal","70259.2762834372","Core waste"
"2018-2019","WA","Hazardous wastes","Treatment","Energy recovery","11375.2415609443","Core waste"
"2018-2019","WA","Hazardous wastes","Treatment","Recycling","61167.2546430529","Core waste"
"2018-2019","WA","Metals","Landfill","Disposal","68160","Core waste"
"2018-2019","WA","Metals","Recycling","Recycling","657150","Core waste"
"2018-2019","WA","Organics","Energy from waste facility","Energy recovery","0","Core waste"
"2018-2019","WA","Organics","Landfill","Disposal","777094","Core waste"
"2018-2019","WA","Organics","Landfill","Energy recovery","99261","Core waste"
"2018-2019","WA","Organics","Recycling","Recycling","347617","Core waste"
"2018-2019","WA","Paper & cardboard","Energy from waste facility","Energy recovery","0","Core waste"
"2018-2019","WA","Paper & cardboard","Landfill","Disposal","231337","Core waste"
"2018-2019","WA","Paper & cardboard","Landfill","Energy recovery","21097","Core waste"
"2018-2019","WA","Paper & cardboard","Recycling","Recycling","256362","Core waste"
"2018-2019","WA","Plastics","Landfill","Disposal","293825","Core waste"
"2018-2019","WA","Plastics","Recycling","Recycling","19957","Core waste"
"2018-2019","WA","Textiles, leather & rubber (excl. tyres)","Energy from waste facility","Energy recovery","0","Core waste"
"2018-2019","WA","Textiles, leather & rubber (excl. tyres)","Landfill","Disposal","73027","Core waste"
"2018-2019","WA","Textiles, leather & rubber (excl. tyres)","Landfill","Energy recovery","6586","Core waste"
"2018-2019","WA","Textiles, leather & rubber (excl. tyres)","Recycling","Recycling","3004","Core waste"
"2018-2019","WA","Unclassified materials","Energy from waste facility","Energy recovery","0","Core waste"
"2018-2019","WA","Unclassified materials","Landfill","Energy recovery","0","Core waste"
"2017-2018","ACT","Biosolids","Other disposal","Disposal","58202.4323690152","Core waste"
"2017-2018","ACT","Biosolids","Recycling","Recycling","0","Core waste"
"2017-2018","ACT","Building and demolition materials","Landfill","Disposal","19801","Core waste"
"2017-2018","ACT","Building and demolition materials","Recycling","Recycling","101302","Core waste"
"2017-2018","ACT","Building and demolition materials","Waste reuse","Waste reuse","61038","Core waste"
"2017-2018","ACT","Glass","Landfill","Disposal","6774","Core waste"
"2017-2018","ACT","Glass","Recycling","Recycling","12501","Core waste"
"2017-2018","ACT","Hazardous wastes","Energy from waste facility","Energy recovery","3717.43938597728","Core waste"
"2017-2018","ACT","Hazardous wastes","Landfill","Disposal","97034.8305618302","Core waste"
"2017-2018","ACT","Hazardous wastes","Other disposal","Disposal","229.777226426674","Core waste"
"2017-2018","ACT","Hazardous wastes","Recycling","Recycling","6575.4544337814","Core waste"
"2017-2018","ACT","Hazardous wastes","Treatment","Disposal","550.006086002077","Core waste"
"2017-2018","ACT","Hazardous wastes","Treatment","Energy recovery","100.537818136262","Core waste"
"2017-2018","ACT","Hazardous wastes","Treatment","Recycling","797.015699800635","Core waste"
"2017-2018","ACT","Metals","Landfill","Disposal","6158","Core waste"
"2017-2018","ACT","Metals","Recycling","Recycling","27357","Core waste"
"2017-2018","ACT","Organics","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","ACT","Organics","Landfill","Disposal","70366","Core waste"
"2017-2018","ACT","Organics","Landfill","Energy recovery","31648","Core waste"
"2017-2018","ACT","Organics","Recycling","Recycling","284296","Core waste"
"2017-2018","ACT","Paper & cardboard","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","ACT","Paper & cardboard","Landfill","Disposal","26434","Core waste"
"2017-2018","ACT","Paper & cardboard","Landfill","Energy recovery","9598","Core waste"
"2017-2018","ACT","Paper & cardboard","Recycling","Recycling","29988","Core waste"
"2017-2018","ACT","Plastics","Landfill","Disposal","22784","Core waste"
"2017-2018","ACT","Plastics","Recycling","Recycling","3512","Core waste"
"2017-2018","ACT","Textiles, leather & rubber (excl. tyres)","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","ACT","Textiles, leather & rubber (excl. tyres)","Landfill","Disposal","10120","Core waste"
"2017-2018","ACT","Textiles, leather & rubber (excl. tyres)","Landfill","Energy recovery","3777","Core waste"
"2017-2018","ACT","Textiles, leather & rubber (excl. tyres)","Recycling","Recycling","0","Core waste"
"2017-2018","ACT","Unclassified materials","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","ACT","Unclassified materials","Landfill","Disposal","12179","Core waste"
"2017-2018","ACT","Unclassified materials","Landfill","Energy recovery","0","Core waste"
"2017-2018","ACT","Unclassified materials","Recycling","Recycling","143354","Core waste"
"2017-2018","NSW","Ash","Other disposal","Long-term storage","1172451.97007719","Non-core waste"
"2017-2018","NSW","Ash","Recycling","Recycling","4599587.00765429","Non-core waste"
"2017-2018","NSW","Biosolids","Other disposal","Disposal","18069.9979433346","Core waste"
"2017-2018","NSW","Biosolids","Recycling","Recycling","333072.455267528","Core waste"
"2017-2018","NSW","Building and demolition materials","Landfill","Disposal","860579","Core waste"
"2017-2018","NSW","Building and demolition materials","Recycling","Recycling","7582655","Core waste"
"2017-2018","NSW","Glass","Landfill","Disposal","132750","Core waste"
"2017-2018","NSW","Glass","Recycling","Recycling","230902","Core waste"
"2017-2018","NSW","Hazardous wastes","Energy from waste facility","Energy recovery","48360.1851906648","Core waste"
"2017-2018","NSW","Hazardous wastes","Landfill","Disposal","1915591.00932434","Core waste"
"2017-2018","NSW","Hazardous wastes","Other disposal","Disposal","6144.95747211967","Core waste"
"2017-2018","NSW","Hazardous wastes","Recycling","Recycling","179789.001141998","Core waste"
"2017-2018","NSW","Hazardous wastes","Treatment","Disposal","172359.22428536","Core waste"
"2017-2018","NSW","Hazardous wastes","Treatment","Energy recovery","22715.5852484437","Core waste"
"2017-2018","NSW","Hazardous wastes","Treatment","Recycling","251821.432356539","Core waste"
"2017-2018","NSW","Metals","Landfill","Disposal","131294","Core waste"
"2017-2018","NSW","Metals","Recycling","Recycling","1541538","Core waste"
"2017-2018","NSW","Organics","Anaerobic digestion","Recycling","43968","Core waste"
"2017-2018","NSW","Organics","Energy from waste facility","Energy recovery","43968","Core waste"
"2017-2018","NSW","Organics","Landfill","Disposal","1411627","Core waste"
"2017-2018","NSW","Organics","Landfill","Energy recovery","361025","Core waste"
"2017-2018","NSW","Organics","Recycling","Recycling","1574691","Core waste"
"2017-2018","NSW","Paper & cardboard","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","NSW","Paper & cardboard","Landfill","Disposal","663987","Core waste"
"2017-2018","NSW","Paper & cardboard","Landfill","Energy recovery","134437","Core waste"
"2017-2018","NSW","Paper & cardboard","Recycling","Recycling","983124","Core waste"
"2017-2018","NSW","Plastics","Landfill","Disposal","562498","Core waste"
"2017-2018","NSW","Plastics","Recycling","Recycling","84541","Core waste"
"2017-2018","NSW","Textiles, leather & rubber (excl. tyres)","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","NSW","Textiles, leather & rubber (excl. tyres)","Landfill","Disposal","158301","Core waste"
"2017-2018","NSW","Textiles, leather & rubber (excl. tyres)","Landfill","Energy recovery","32850","Core waste"
"2017-2018","NSW","Textiles, leather & rubber (excl. tyres)","Recycling","Recycling","1545","Core waste"
"2017-2018","NSW","Unclassified materials","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","NSW","Unclassified materials","Landfill","Disposal","186636","Core waste"
"2017-2018","NSW","Unclassified materials","Landfill","Energy recovery","0","Core waste"
"2017-2018","NSW","Unclassified materials","Recycling","Recycling","8659","Core waste"
"2017-2018","NT","Biosolids","Other disposal","Disposal","4728.79157920255","Core waste"
"2017-2018","NT","Biosolids","Recycling","Recycling","16654.2867611004","Core waste"
"2017-2018","NT","Building and demolition materials","Landfill","Disposal","129940","Core waste"
"2017-2018","NT","Building and demolition materials","Recycling","Recycling","1065","Core waste"
"2017-2018","NT","Glass","Landfill","Disposal","8042","Core waste"
"2017-2018","NT","Glass","Recycling","Recycling","6717","Core waste"
"2017-2018","NT","Hazardous wastes","Energy from waste facility","Energy recovery","958.601600582516","Core waste"
"2017-2018","NT","Hazardous wastes","Landfill","Disposal","15542.1949572921","Core waste"
"2017-2018","NT","Hazardous wastes","Other disposal","Disposal","139.796909911394","Core waste"
"2017-2018","NT","Hazardous wastes","Recycling","Recycling","8545.71524472365","Core waste"
"2017-2018","NT","Hazardous wastes","Treatment","Disposal","540.430161079807","Core waste"
"2017-2018","NT","Hazardous wastes","Treatment","Energy recovery","354.193746055369","Core waste"
"2017-2018","NT","Hazardous wastes","Treatment","Recycling","2154.44509707435","Core waste"
"2017-2018","NT","Metals","Landfill","Disposal","8263","Core waste"
"2017-2018","NT","Metals","Recycling","Recycling","682","Core waste"
"2017-2018","NT","Organics","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","NT","Organics","Landfill","Disposal","95695","Core waste"
"2017-2018","NT","Organics","Landfill","Energy recovery","10632","Core waste"
"2017-2018","NT","Organics","Recycling","Recycling","18141","Core waste"
"2017-2018","NT","Paper & cardboard","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","NT","Paper & cardboard","Landfill","Disposal","26640","Core waste"
"2017-2018","NT","Paper & cardboard","Landfill","Energy recovery","2287","Core waste"
"2017-2018","NT","Paper & cardboard","Recycling","Recycling","62","Core waste"
"2017-2018","NT","Plastics","Landfill","Disposal","31345","Core waste"
"2017-2018","NT","Plastics","Recycling","Recycling","626","Core waste"
"2017-2018","NT","Textiles, leather & rubber (excl. tyres)","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","NT","Textiles, leather & rubber (excl. tyres)","Landfill","Disposal","6244","Core waste"
"2017-2018","NT","Textiles, leather & rubber (excl. tyres)","Landfill","Energy recovery","548","Core waste"
"2017-2018","NT","Textiles, leather & rubber (excl. tyres)","Recycling","Recycling","1693","Core waste"
"2017-2018","NT","Unclassified materials","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","NT","Unclassified materials","Landfill","Energy recovery","0","Core waste"
"2017-2018","Qld","Ash","Other disposal","Long-term storage","3764101.08225165","Non-core waste"
"2017-2018","Qld","Ash","Recycling","Recycling","833519.613243162","Non-core waste"
"2017-2018","Qld","Biosolids","Other disposal","Disposal","0","Core waste"
"2017-2018","Qld","Biosolids","Recycling","Recycling","327163.571428571","Core waste"
"2017-2018","Qld","Building and demolition materials","Landfill","Disposal","1982183","Core waste"
"2017-2018","Qld","Building and demolition materials","Recycling","Recycling","1919445","Core waste"
"2017-2018","Qld","Glass","Landfill","Disposal","124306","Core waste"
"2017-2018","Qld","Glass","Recycling","Recycling","104017","Core waste"
"2017-2018","Qld","Hazardous wastes","Energy from waste facility","Energy recovery","24645.7612832801","Core waste"
"2017-2018","Qld","Hazardous wastes","Landfill","Disposal","1314727.11273109","Core waste"
"2017-2018","Qld","Hazardous wastes","Other disposal","Disposal","10734.5882311612","Core waste"
"2017-2018","Qld","Hazardous wastes","Recycling","Recycling","586233.449163007","Core waste"
"2017-2018","Qld","Hazardous wastes","Treatment","Disposal","42176.7792192469","Core waste"
"2017-2018","Qld","Hazardous wastes","Treatment","Energy recovery","11194.574152252","Core waste"
"2017-2018","Qld","Hazardous wastes","Treatment","Recycling","68736.1528803185","Core waste"
"2017-2018","Qld","Metals","Landfill","Disposal","139418","Core waste"
"2017-2018","Qld","Metals","Recycling","Recycling","966871","Core waste"
"2017-2018","Qld","Organics","Energy from waste facility","Energy recovery","40536","Core waste"
"2017-2018","Qld","Organics","Landfill","Disposal","1493153","Core waste"
"2017-2018","Qld","Organics","Landfill","Energy recovery","267186","Core waste"
"2017-2018","Qld","Organics","Recycling","Recycling","950663","Core waste"
"2017-2018","Qld","Paper & cardboard","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Qld","Paper & cardboard","Landfill","Disposal","459176","Core waste"
"2017-2018","Qld","Paper & cardboard","Landfill","Energy recovery","66345","Core waste"
"2017-2018","Qld","Paper & cardboard","Recycling","Recycling","631582","Core waste"
"2017-2018","Qld","Plastics","Landfill","Disposal","590737","Core waste"
"2017-2018","Qld","Plastics","Recycling","Recycling","49519","Core waste"
